Crime,Latitude,Longitude,Year,Neighborhood
PROPERTY DAMAGE,-122.3324493,47.61061143,2014,Central Business District
CAR PROWL,-122.3212832,47.62775208,2014,Broadway
BIKE THEFT,-122.3276871,47.60876553,2014,First Hill
ASSAULT,-122.3142558,47.67274446,2014,Roosevelt
BURGLARY,-122.2672526,47.53858244,2014,Brighton
CAR PROWL,-122.3083151,47.59924291,2014,Atlantic
DISTURBANCE,-122.3283588,47.61369803,2014,Broadway
MAIL THEFT,-122.3540534,47.69978973,2014,Greenwood
SHOPLIFTING,-122.3216838,47.54674503,2014,Georgetown
CAR PROWL,-122.3349184,47.61163943,2014,Central Business District
ASSAULT,-122.3366873,47.61021277,2014,Central Business District
VEHICLE THEFT,-122.3445229,47.66464766,2014,Wallingford
PROPERTY DAMAGE,-122.2904319,47.6104169,2014,Madrona
CAR PROWL,-122.2999505,47.6061734,2014,Mann
OTHER PROPERTY,-122.2859652,47.51900168,2014,South Beacon Hill
BURGLARY,-122.3569484,47.63656277,2014,West Queen Anne
WARRANT ARREST,-122.3246152,47.7086028,2014,Pinehurst
ASSAULT,0,0,2014,
OTHER PROPERTY,-122.3567455,47.70056126,2014,Greenwood
VEHICLE THEFT,-122.3149692,47.52304156,2014,South Park
PROPERTY DAMAGE,-122.3072751,47.72388824,2014,Olympic Hills
ROBBERY,0,0,2014,
BURGLARY,-122.2753228,47.52331187,2014,Dunlap
BIKE THEFT,-122.3419836,47.61421579,2014,Belltown
ASSAULT,-122.3383483,47.60951744,2014,Central Business District
PROPERTY DAMAGE,-122.3263588,47.59961241,2014,International District
WARRANT ARREST,0,0,2014,
DISTURBANCE,-122.3868308,47.55932406,2014,Genesee
ASSAULT,-122.3265953,47.62370996,2014,Broadway
STOLEN PROPERTY,-122.3165108,47.67258134,2014,Roosevelt
ROBBERY,0,0,2014,
CAR PROWL,0,0,2014,
CAR PROWL,-122.3073149,47.62263923,2014,Stevens
LOST PROPERTY,0,0,2014,
VIOLATION OF COURT ORDER,-122.3373204,47.61132124,2014,Central Business District
