"(47.68989285, -122.37521107)"
"(47.53836417, -122.33087177)"
"(47.58856991, -122.30446724)"
"(47.61691256, -122.31717793)"
"(47.54151528, -122.37183756)"
"(47.69086272, -122.37440323)"
"(47.64322982, -122.38508834)"
"(47.64307372, -122.38507342)"
"(47.66885727, -122.41133128)"
"(47.56850796, -122.35981677)"
"(47.6997873, -122.36751829)"
"(47.57429678, -122.30936948)"
"(47.62101313, -122.30204282)"
"(47.66688565, -122.30415876)"
"(47.5599854, -122.35222458)"
"(47.66164021, -122.34831469)"
"(47.61747078, -122.29775798)"
"(47.65171913, -122.38497166)"
"(47.6173213, -122.34182435)"
"(47.60379161, -122.31088605)"
"(47.6187636, -122.30656425)"
"(47.66963325, -122.36376961)"
"(47.68142507, -122.32215756)"
"(47.56907767, -122.4081898)"
"(47.56987739, -122.29752587)"
"(47.61876455, -122.30635286)"
"(47.60247849, -122.32100964)"
"(47.63011429, -122.36863078)"
"(47.72357091, -122.28574693)"
"(47.56516657, -122.36049473)"
"(47.67477046, -122.38576568)"
"(47.61343762, -122.30784769)"
"(47.67559962, -122.3864141)"
"(47.67550541, -122.3863962)"
"(47.64459376, -122.38426247)"
"(47.58882894, -122.30818728)"
"(47.62557632, -122.3177101)"
"(47.67730122, -122.38724381)"
"(47.67219559, -122.38892531)"
"(47.66937616, -122.25806564)"
"(47.68071329, -122.29070534)"
"(47.62004201, -122.35912476)"
"(47.60395897, -122.31092466)"
"(47.67715601, -122.38802806)"
"(47.67709677, -122.38801766)"
"(47.5674535, -122.38712744)"
"(47.57699616, -122.4175621)"
"(47.62149429, -122.33120552)"
"(47.61946586, -122.31911396)"
"(47.58669965, -122.31692912)"
"(47.6944539, -122.36497641)"
"(47.62519626, -122.34457636)"
"(47.5700618, -122.29751939)"
"(47.69836067, -122.32373025)"
"(47.65170368, -122.36639319)"
"(47.67984086, -122.3648043)"
"(47.57917435, -122.36660247)"
"(47.61330272, -122.30317551)"
"(47.67070361, -122.39057979)"
"(47.6934017, -122.27170025)"
"(47.63564765, -122.30962774)"
"(47.5979709, -122.3239709)"
"(47.62568886, -122.34808215)"
"(47.55885413, -122.28991684)"
"(47.57680407, -122.41749598)"
"(47.53803268, -122.28967825)"
"(47.59070975, -122.31514066)"
"(47.67486792, -122.39813981)"
"(47.73309955, -122.28548885)"
"(47.73309955, -122.28548885)"
"(47.68405635, -122.37653282)"
"(47.67509098, -122.38675765)"
"(47.60251067, -122.31340556)"
"(47.70619241, -122.32587611)"
"(47.60843309, -122.31385266)"
"(47.52631559, -122.32209789)"
"(47.68825582, -122.3153581)"
"(47.59228291, -122.30100137)"
"(47.5907071, -122.31528779)"
"(47.56748938, -122.38702825)"
"(47.61098122, -122.31447688)"
"(47.5696569, -122.38721188)"
"(47.52624414, -122.32226689)"
"(47.70524945, -122.35248785)"
"(47.65482313, -122.38623986)"
"(47.59881286, -122.30190204)"
"(47.63847192, -122.36995433)"
"(47.65483374, -122.38628253)"
"(47.61889103, -122.30507666)"
"(47.65141714, -122.32082903)"
"(47.67219071, -122.37954099)"
"(47.59761395, -122.29844199)"
"(47.66021898, -122.37107885)"
"(47.65716506, -122.36176139)"
"(47.67402447, -122.37832579)"
"(47.61141658, -122.32136945)"
"(47.56273751, -122.38257149)"
"(47.58777186, -122.3122612)"
"(47.59867342, -122.33520646)"
"(47.60886017, -122.29991299)"
"(47.58649214, -122.31175064)"
"(47.59222477, -122.33696944)"
"(47.65006193, -122.37452636)"
"(47.5937049, -122.31450253)"
"(47.54676012, -122.37610852)"
"(47.65621774, -122.35043068)"
"(47.7292745, -122.28486904)"
"(47.60819051, -122.29965679)"
"(47.62560799, -122.3486666)"
"(47.67292898, -122.38110048)"
"(47.67417287, -122.39239198)"
"(47.54234994, -122.39321933)"
"(47.64922392, -122.40622249)"
"(47.56204949, -122.38777147)"
"(47.6740112, -122.37862495)"
"(47.72584361, -122.32925036)"
"(47.57338852, -122.37258889)"
"(47.67396982, -122.39235519)"
"(47.66118061, -122.3215058)"
"(47.55807426, -122.2832059)"
"(47.65210113, -122.34502733)"
"(47.60382745, -122.30347884)"
"(47.64081755, -122.32036517)"
"(47.60423386, -122.31548619)"
"(47.65611183, -122.35039114)"
"(47.61058116, -122.34056296)"
"(47.55510806, -122.38192907)"
"(47.67940268, -122.3664224)"
"(47.65840603, -122.32112633)"
"(47.65051361, -122.37586043)"
"(47.63888523, -122.32422098)"
